date,district,tmax_c,tmin_c,tmean_c
1981-01-01,SIRONKO,25.23243663168976,12.285714211771358,19.4944949070346
1981-01-01,BULAMBULI,27.696041354800165,13.299660435851594,21.118340559256715
1981-01-01,BUKWO,23.305057443564014,11.212169173056406,17.466794920906942
1981-01-01,BUTALEJA,28.11211374336268,16.95637209696115,22.403781978174415
1981-01-01,KWEEN,28.189726633586325,13.406449342655675,21.488059156813392
1981-01-01,KAPCHORWA,25.186359947677712,11.603459209517696,18.958549396111508
1981-01-01,MANAFWA,24.51775592012673,11.69543260719597,18.632528398597838
1981-01-01,BUDUDA,22.255003429880244,10.287295169288756,16.882267077225993
1981-01-01,MBALE,26.3246329767536,13.804484836156218,20.31592248737115
1981-01-01,MBALE,26.342698109911527,13.89184687090979,20.362610527910604
1981-01-02,SIRONKO,24.49109092686779,12.928318977297728,19.174108384463867
1981-01-02,BULAMBULI,26.984731788664146,15.118778078704175,21.102356233718783
1981-01-02,BUKWO,22.036710566452392,12.809397875977906,17.2800298976342
1981-01-02,BUTALEJA,26.65310463581119,17.234983880218458,21.893470469910703
1981-01-02,KWEEN,27.191896292828027,15.24497524192324,21.620540190520845
1981-01-02,KAPCHORWA,24.363603101333485,13.201397805109337,18.90597821706976
1981-01-02,MANAFWA,23.314196420879675,12.015174725967455,18.20005960020014
1981-01-02,BUDUDA,21.171861658044072,10.527886172005598,16.35573815628265
1981-01-02,MBALE,25.113820239623937,13.555754374422962,19.752817888052256
1981-01-02,MBALE,25.392580635637806,13.547349657757518,19.86419640665005
1981-01-03,SIRONKO,23.062317285208632,12.915173043339365,18.563236510893272
1981-01-03,BULAMBULI,25.378386453820465,15.327156622768735,20.487043779962264
1981-01-03,BUKWO,22.117545574681237,12.503947164413576,17.167624564805976
1981-01-03,BUTALEJA,25.943114211540507,16.716000789309955,21.160134634164827
1981-01-03,KWEEN,26.871378256820275,15.525688048450004,21.423598047157938
1981-01-03,KAPCHORWA,23.025262675772996,13.325420573499473,18.514861094723525
1981-01-03,MANAFWA,22.015488312099478,12.178075670459467,17.51998368053665
