Serial,Date (YMD),Day Index,Observation Date,District,Duration (d),Event Days,Duration Class
6585,1991/9/2,1,1991-09-02,MBALE,1,1,unknown
6288,1994/5/4,1,1994-05-04,KAPCHORWA,1,1,unknown
6214,1998/3/8,1,1998-03-08,MBALE,1,1,unknown
629,2001/10/1,1,2001-10-01,BUDUDA,1,1,unknown
6325,2002/6/1,1,2002-06-01,SIRONKO,1,1,unknown
4736,2003/9/1,1,2003-09-01,KAPCHORWA,1,1,unknown
5097,2004/5/11,1,2004-05-11,MBALE,1,1,unknown
565,2005/5/16,1,2005-05-16,MBALE,150,7,long
565,2005/5/16,2,2005-05-17,MBALE,150,7,long
565,2005/5/16,3,2005-05-18,MBALE,150,7,long
565,2005/5/16,4,2005-05-19,MBALE,150,7,long
565,2005/5/16,5,2005-05-20,MBALE,150,7,long
565,2005/5/16,6,2005-05-21,MBALE,150,7,long
565,2005/5/16,7,2005-05-22,MBALE,150,7,long
4272,2005/6/30,1,2005-06-30,KAPCHORWA,1,1,unknown
4271,2005/7/2,1,2005-07-02,KAPCHORWA,1,1,unknown
2092,2006/7/14,1,2006-07-14,KAPCHORWA,1,1,unknown
2098,2006/8/5,1,2006-08-05,KAPCHORWA,1,1,unknown
2101,2006/8/5,1,2006-08-05,SIRONKO,1,1,unknown
4270,2006/8/6,1,2006-08-06,KAPCHORWA,1,1,unknown
4307,2006/8/6,1,2006-08-06,SIRONKO,1,1,unknown
1962,2006/11/28,1,2006-11-28,BUTALEJA,1,1,unknown
412,2006/12/7,1,2006-12-07,BUTALEJA,1,1,unknown
5213,2007/4/14,1,2007-04-14,MBALE,1,1,unknown
984,2007/5/31,1,2007-05-31,BUDUDA,1,1,unknown
1213,2007/8/8,1,2007-08-08,SIRONKO,1,1,unknown
5210,2007/8/31,1,2007-08-31,SIRONKO,1,1,unknown
621,2007/10/1,1,2007-10-01,BUDUDA,1,1,unknown
2127,2008/6/2,1,2008-06-02,MANAFWA,1,1,unknown
2112,2008/6/2,1,2008-06-02,SIRONKO,1,1,unknown
553,2009/4/6,1,2009-04-06,MBALE,2,2,short
553,2009/4/6,2,2009-04-07,MBALE,2,2,short
2171,2009/7/21,1,2009-07-21,BUTALEJA,1,1,unknown
515,2010/1/1,1,2010-01-01,BUDUDA,1,1,unknown
4397,2010/1/15,1,2010-01-15,KAPCHORWA,1,1,unknown
447,2010/2/20,1,2010-02-20,BUTALEJA,1,1,unknown
529,2010/3/3,1,2010-03-03,MBALE,8,7,moderate
411,2010/3/4,1,2010-03-04,BUTALEJA,1,1,unknown
529,2010/3/3,2,2010-03-04,MBALE,8,7,moderate
521,2010/3/4,1,2010-03-04,MBALE,30,7,long
529,2010/3/3,3,2010-03-05,MBALE,8,7,moderate
521,2010/3/4,2,2010-03-05,MBALE,30,7,long
529,2010/3/3,4,2010-03-06,MBALE,8,7,moderate
521,2010/3/4,3,2010-03-06,MBALE,30,7,long
529,2010/3/3,5,2010-03-07,MBALE,8,7,moderate
521,2010/3/4,4,2010-03-07,MBALE,30,7,long
529,2010/3/3,6,2010-03-08,MBALE,8,7,moderate
521,2010/3/4,5,2010-03-08,MBALE,30,7,long
529,2010/3/3,7,2010-03-09,MBALE,8,7,moderate
521,2010/3/4,6,2010-03-09,MBALE,30,7,long
4387,2010/3/10,1,2010-03-10,BUTALEJA,1,1,unknown
1705,2010/3/10,1,2010-03-10,MANAFWA,14,7,moderate
521,2010/3/4,7,2010-03-10,MBALE,30,7,long
1705,2010/3/10,2,2010-03-11,MANAFWA,14,7,moderate
1705,2010/3/10,3,2010-03-12,MANAFWA,14,7,moderate
1705,2010/3/10,4,2010-03-13,MANAFWA,14,7,moderate
1705,2010/3/10,5,2010-03-14,MANAFWA,14,7,moderate
1705,2010/3/10,6,2010-03-15,MANAFWA,14,7,moderate
170,2010/3/15,1,2010-03-15,SIRONKO,1,1,unknown
1705,2010/3/10,7,2010-03-16,MANAFWA,14,7,moderate
5257,2010/4/28,1,2010-04-28,BUDUDA,1,1,unknown
4569,2010/4/28,1,2010-04-28,MANAFWA,1,1,unknown
1454,2010/5/11,1,2010-05-11,MBALE,1,1,unknown
1463,2010/5/14,1,2010-05-14,SIRONKO,1,1,unknown
4254,2010/5/15,1,2010-05-15,MBALE,1,1,unknown
4341,2010/5/17,1,2010-05-17,KAPCHORWA,1,1,unknown
1505,2010/5/25,1,2010-05-25,MBALE,1,1,unknown
1620,2010/5/25,1,2010-05-25,SIRONKO,1,1,unknown
4289,2010/5/28,1,2010-05-28,BUTALEJA,1,1,unknown
4290,2010/8/14,1,2010-08-14,BUTALEJA,1,1,short
4286,2010/9/29,1,2010-09-29,BUTALEJA,1,1,unknown
4321,2010/9/30,1,2010-09-30,BULAMBULI,1,1,unknown
261,2010/10/4,1,2010-10-04,BULAMBULI,30,7,long
261,2010/10/4,2,2010-10-05,BULAMBULI,30,7,long
261,2010/10/4,3,2010-10-06,BULAMBULI,30,7,long
261,2010/10/4,4,2010-10-07,BULAMBULI,30,7,long
261,2010/10/4,5,2010-10-08,BULAMBULI,30,7,long
261,2010/10/4,6,2010-10-09,BULAMBULI,30,7,long
261,2010/10/4,7,2010-10-10,BULAMBULI,30,7,long
5910,2011/5/21,1,2011-05-21,MANAFWA,1,1,short
1495,2011/5/22,1,2011-05-22,MANAFWA,1,1,unknown
1297,2011/8/29,1,2011-08-29,BUTALEJA,1,1,unknown
527,2011/9/7,1,2011-09-07,MBALE,1,1,unknown
418,2011/9/9,1,2011-09-09,BUTALEJA,1,1,unknown
185,2011/9/15,1,2011-09-15,BULAMBULI,3,3,short
173,2011/9/15,1,2011-09-15,SIRONKO,1,1,unknown
185,2011/9/15,2,2011-09-16,BULAMBULI,3,3,short
224,2011/9/16,1,2011-09-16,SIRONKO,1,1,unknown
185,2011/9/15,3,2011-09-17,BULAMBULI,3,3,short
415,2011/9/19,1,2011-09-19,BUTALEJA,1,1,unknown
431,2011/9/20,1,2011-09-20,BUTALEJA,1,1,unknown
5843,2011/11/11,1,2011-11-11,BULAMBULI,1,1,unknown
2373,2012/5/11,1,2012-05-11,MANAFWA,1,1,short
6347,2012/7/3,1,2012-07-03,BUDUDA,1,1,unknown
2444,2012/10/1,1,2012-10-01,BUDUDA,1,1,unknown
2659,2013/3/5,1,2013-03-05,MBALE,1,1,unknown
6353,2013/10/25,1,2013-10-25,SIRONKO,1,1,unknown
2606,2013/11/1,1,2013-11-01,SIRONKO,1,1,unknown
2694,2014/3/11,1,2014-03-11,MBALE,1,1,unknown
2584,2014/5/30,1,2014-05-30,SIRONKO,1,1,short
2579,2014/6/2,1,2014-06-02,BUDUDA,1,1,unknown
6628,2014/6/4,1,2014-06-04,SIRONKO,1,1,unknown
6947,2014/10/17,1,2014-10-17,BULAMBULI,1,1,unknown
3171,2014/11/9,1,2014-11-09,BUTALEJA,1,1,unknown
2996,2015/4/17,1,2015-04-17,MANAFWA,1,1,unknown
3203,2016/1/4,1,2016-01-04,SIRONKO,1,1,unknown
3286,2016/5/12,1,2016-05-12,SIRONKO,1,1,unknown
3436,2016/5/16,1,2016-05-16,SIRONKO,1,1,unknown
2790,2016/11/14,1,2016-11-14,BUTALEJA,1,1,unknown
4294,2017/3/6,1,2017-03-06,BUTALEJA,1,1,unknown
3534,2017/3/7,1,2017-03-07,BUTALEJA,1,1,unknown
4331,2017/4/10,1,2017-04-10,BULAMBULI,1,1,unknown
4332,2017/4/17,1,2017-04-17,BULAMBULI,1,1,unknown
4326,2017/6/28,1,2017-06-28,BULAMBULI,1,1,unknown
4168,2017/8/17,1,2017-08-17,BUDUDA,6,6,short
4168,2017/8/17,2,2017-08-18,BUDUDA,6,6,short
4168,2017/8/17,3,2017-08-19,BUDUDA,6,6,short
4168,2017/8/17,4,2017-08-20,BUDUDA,6,6,short
4168,2017/8/17,5,2017-08-21,BUDUDA,6,6,short
4168,2017/8/17,6,2017-08-22,BUDUDA,6,6,short
4138,2017/8/27,1,2017-08-27,BUDUDA,6,6,short
4138,2017/8/27,2,2017-08-28,BUDUDA,6,6,short
4138,2017/8/27,3,2017-08-29,BUDUDA,6,6,short
4138,2017/8/27,4,2017-08-30,BUDUDA,6,6,short
4138,2017/8/27,5,2017-08-31,BUDUDA,6,6,short
4138,2017/8/27,6,2017-09-01,BUDUDA,6,6,short
4273,2017/10/3,1,2017-10-03,KAPCHORWA,1,1,unknown
5350,2018/3/26,1,2018-03-26,BUTALEJA,1,1,unknown
5850,2018/4/4,1,2018-04-04,BUTALEJA,1,1,unknown
5359,2018/4/29,1,2018-04-29,BUTALEJA,2,2,short
5359,2018/4/29,2,2018-04-30,BUTALEJA,2,2,short
6883,2018/5/1,1,2018-05-01,BUTALEJA,1,1,unknown
5313,2018/5/3,1,2018-05-03,BUTALEJA,1,1,unknown
5372,2018/5/4,1,2018-05-04,BUTALEJA,1,1,unknown
4170,2018/5/25,1,2018-05-25,BUDUDA,1,1,unknown
6887,2018/6/7,1,2018-06-07,BULAMBULI,1,1,unknown
5435,2018/6/20,1,2018-06-20,BUTALEJA,1,1,unknown
